baths,beds,cats_allowed,comes_furnished,dogs_allowed,electric_vehicle_charge,id,lat,laundry_options,long,parking_options,price,region,smoking_allowed,sqfeet,state,type,wheelchair_access
2,3,1,0,1,0,7035058940,36.0036,w/d hookups,-80.0036,off-street parking,795,winston-salem,1,1248,nc,apartment,0
1,2,0,0,0,0,7020712074,36.6218,laundry on site,-79.4124,off-street parking,0,winston-salem,1,880,nc,apartment,0
2,3,1,0,1,0,7035061875,36.0036,w/d hookups,-80.0036,off-street parking,795,winston-salem,1,1248,nc,apartment,0
1,1,1,0,1,0,7035095316,36.0737,w/d in unit,-80.3504,off-street parking,865,winston-salem,1,796,nc,apartment,0
2.5,3,1,0,1,0,7035090518,36.0251,w/d hookups,-80.1995,attached garage,949,winston-salem,1,1800,nc,house,0
2,2,0,0,0,0,7006321023,48.1995,w/d in unit,-101.28,detached garage,945,north dakota,0,1050,nd,apartment,0
2,2,0,0,0,0,7024924638,48.2111,w/d in unit,-101.332,detached garage,850,north dakota,0,1078,nd,apartment,0
1,1,0,1,0,0,7025025472,48.2602,laundry in bldg,-101.297,off-street parking,175,north dakota,1,300,nd,apartment,0
1,1,0,1,0,0,7025025611,48.2602,laundry in bldg,-101.297,off-street parking,500,north dakota,1,300,nd,apartment,0
2,2,1,0,1,0,7025063495,48.2257,w/d in unit,-103.649,attached garage,1250,north dakota,0,1186,nd,apartment,0
2,3,0,0,0,0,7022463752,48.2111,w/d in unit,-101.332,detached garage,1105,north dakota,0,1365,nd,apartment,0
2.5,3,1,0,1,0,7025132943,48.1726,w/d in unit,-103.664,attached garage,2275,north dakota,0,1543,nd,townhouse,0
2,2,0,0,0,0,7006087389,48.2111,w/d in unit,-101.332,detached garage,885,north dakota,0,1078,nd,apartment,0
1,1,0,0,0,0,7023867479,48.2111,w/d in unit,-101.332,detached garage,845,north dakota,0,820,nd,apartment,0
2,2,1,0,1,0,7025223638,48.2257,w/d in unit,-103.649,attached garage,1095,north dakota,0,1023,nd,apartment,0
2.5,3,1,0,1,0,7025242676,48.1712,w/d in unit,-103.663,attached garage,2275,north dakota,0,1543,nd,townhouse,0
2,3,1,0,1,0,7006785605,48.2038,w/d in unit,-101.318,detached garage,1215,north dakota,1,1503,nd,apartment,0
2.5,3,1,0,1,0,7025346836,48.2257,w/d in unit,-103.649,attached garage,2275,north dakota,0,1543,nd,townhouse,0
2,2,1,0,1,0,7025361785,48.2257,w/d in unit,-103.649,attached garage,1095,north dakota,0,1023,nd,apartment,0
2,3,1,0,1,0,7017834483,48.2022,w/d in unit,-101.318,attached garage,1175,north dakota,1,1424,nd,apartment,0
1,1,0,1,0,0,7025633581,48.2602,laundry in bldg,-101.297,off-street parking,175,north dakota,1,300,nd,apartment,0
1,1,0,1,0,0,7025633844,48.2602,laundry in bldg,-101.297,off-street parking,500,north dakota,1,300,nd,apartment,0
2,2,1,0,1,0,7006732779,48.2038,w/d in unit,-101.318,detached garage,1115,north dakota,1,1253,nd,apartment,0
1,1,0,0,0,0,7006877744,48.1995,w/d in unit,-101.28,detached garage,835,north dakota,0,820,nd,apartment,0
2,2,1,0,1,0,7025932165,48.1723,w/d in unit,-103.624,attached garage,1425,north dakota,0,1175,nd,apartment,0
2,2,1,0,1,0,7025933526,48.1723,w/d in unit,-103.624,attached garage,1425,north dakota,1,1175,nd,apartment,0
2,2,0,0,0,0,7006849884,48.192,w/d in unit,-101.293,detached garage,945,north dakota,0,1050,nd,apartment,0
2,2,0,0,0,0,7007120938,48.2762,w/d in unit,-101.285,detached garage,925,north dakota,0,1050,nd,apartment,0
1,1,0,1,0,0,7026094789,48.2602,laundry in bldg,-101.297,off-street parking,175,north dakota,1,300,nd,apartment,0
1,1,0,1,0,0,7026096652,48.2602,laundry in bldg,-101.297,off-street parking,500,north dakota,1,300,nd,apartment,0
2,2,0,0,0,0,7007000302,48.192,w/d in unit,-101.293,detached garage,945,north dakota,0,1050,nd,apartment,0
2,3,1,1,1,0,7016321330,47.8088,w/d in unit,-103.454,off-street parking,1900,north dakota,1,50000,nd,house,1
2,3,1,1,1,0,7016324133,47.8088,w/d in unit,-103.454,off-street parking,1900,north dakota,1,50000,nd,house,1
2,3,1,0,1,0,7019226074,48.2022,w/d in unit,-101.318,attached garage,1185,north dakota,1,1424,nd,apartment,0
2,2,1,0,1,0,7011525850,48.2038,w/d in unit,-101.318,detached garage,973,north dakota,1,1198,nd,apartment,0
2,2,1,0,1,0,7022357406,48.2022,w/d in unit,-101.318,attached garage,1108,north dakota,1,1188,nd,apartment,0
1,1,0,1,0,0,7026790452,48.2602,laundry in bldg,-101.297,off-street parking,175,north dakota,1,300,nd,apartment,0
1,1,0,1,0,0,7026790583,48.2602,laundry in bldg,-101.297,off-street parking,500,north dakota,1,300,nd,apartment,0
1,1,1,0,1,0,7051234239,39.7491,w/d in unit,-104.995,attached garage,1638,scottsbluff / panhandle,0,596,ne,apartment,0
1,1,0,0,0,0,7051238620,39.679,w/d in unit,-104.963,attached garage,1662,scottsbluff / panhandle,1,730,ne,apartment,0
1,1,0,0,0,0,7051239923,39.7321,laundry in bldg,-104.982,off-street parking,1550,scottsbluff / panhandle,0,750,ne,apartment,1
3,3,1,0,1,0,7051242291,39.6596,w/d in unit,-104.961,detached garage,7365,scottsbluff / panhandle,1,2779,ne,apartment,0
1.5,1,0,0,0,0,7051242311,39.7586,laundry in bldg,-105.03,off-street parking,850,scottsbluff / panhandle,0,1600,ne,apartment,0
2,2,1,0,1,0,7051237235,39.5918,w/d in unit,-105.083,detached garage,1585,scottsbluff / panhandle,0,1068,ne,apartment,0
1,1,1,0,1,0,7040201438,39.6793,laundry on site,-104.884,off-street parking,999,scottsbluff / panhandle,1,610,ne,apartment,0
2,2,1,0,1,0,7036525261,39.7491,w/d in unit,-104.995,attached garage,2250,scottsbluff / panhandle,1,1103,ne,apartment,0
1,1,1,0,1,0,7036526629,39.7683,w/d in unit,-105.049,attached garage,1525,scottsbluff / panhandle,1,548,ne,apartment,0
2,2,1,0,1,0,7040797967,39.7491,w/d in unit,-104.995,attached garage,3698,scottsbluff / panhandle,1,1151,ne,apartment,0
1,1,1,0,1,0,7040799271,39.6793,laundry on site,-104.884,off-street parking,999,scottsbluff / panhandle,1,610,ne,apartment,0
2,2,1,0,1,0,7040797003,39.7491,w/d in unit,-104.995,attached garage,2507,scottsbluff / panhandle,1,990,ne,apartment,0
2,2,1,0,1,0,7040797473,39.7491,w/d in unit,-104.995,attached garage,2507,scottsbluff / panhandle,1,990,ne,apartment,0
2,2,1,0,1,0,7036526184,39.734,w/d in unit,-105.026,attached garage,2525,scottsbluff / panhandle,1,950,ne,apartment,0
1,1,1,0,1,0,7036660334,39.6793,laundry on site,-104.884,off-street parking,1090,scottsbluff / panhandle,1,609,ne,apartment,0
1,1,1,0,1,0,7037189805,39.6793,laundry on site,-104.884,off-street parking,999,scottsbluff / panhandle,1,610,ne,apartment,0
1,1,1,0,1,0,7037190517,39.7002,w/d in unit,-105.003,attached garage,1510,scottsbluff / panhandle,1,715,ne,apartment,0
2,2,1,0,1,0,7036267929,39.734,w/d in unit,-105.026,attached garage,2360,scottsbluff / panhandle,1,1062,ne,apartment,0
1,1,1,0,1,0,7036267654,39.7313,laundry in bldg,-104.981,attached garage,1612,scottsbluff / panhandle,0,820,ne,apartment,0
1,1,1,0,1,0,7036267764,39.7313,laundry in bldg,-104.981,attached garage,1612,scottsbluff / panhandle,0,820,ne,apartment,0
1,1,1,0,1,0,7036267550,39.7313,laundry in bldg,-104.981,attached garage,1612,scottsbluff / panhandle,0,820,ne,apartment,0
1,1,1,0,1,0,7041502945,39.7313,w/d in unit,-104.981,attached garage,1588,scottsbluff / panhandle,1,633,ne,apartment,0
1.5,2,1,0,1,0,7051244551,39.679,laundry on site,-104.963,attached garage,2500,scottsbluff / panhandle,0,1557,ne,house,0
2,3,1,0,1,0,7051223488,39.5994,w/d hookups,-105.004,attached garage,2750,scottsbluff / panhandle,1,2780,ne,house,0
1,1,0,0,0,0,7051243183,40.0375,laundry in bldg,-105.277,off-street parking,1295,scottsbluff / panhandle,0,600,ne,apartment,0
2,3,0,0,0,0,7051243527,40.0359,w/d hookups,-105.292,attached garage,2695,scottsbluff / panhandle,0,1295,ne,house,0
2,3,1,0,1,0,7051251604,40.0394,w/d in unit,-105.262,off-street parking,2400,scottsbluff / panhandle,1,2204,ne,duplex,0
1,1,1,0,1,1,7051251859,39.9914,w/d in unit,-105.239,off-street parking,1675,scottsbluff / panhandle,1,700,ne,apartment,0
2,3,1,0,1,0,7033778446,41.872,w/d in unit,-103.662,attached garage,499,scottsbluff / panhandle,1,942,ne,house,1
2.5,3,0,0,0,0,7035640219,41.8215,w/d hookups,-103.67,detached garage,1050,scottsbluff / panhandle,0,1500,ne,townhouse,0
1,2,0,0,0,0,7039723733,41.8776,w/d hookups,-103.666,off-street parking,700,scottsbluff / panhandle,0,1000,ne,apartment,0
2,3,0,0,0,0,7040688613,42.0994,w/d hookups,-102.874,detached garage,865,scottsbluff / panhandle,1,1264,ne,house,0
2,5,1,0,1,0,7044045559,42.8062,w/d hookups,-100.621,attached garage,1575,scottsbluff / panhandle,0,2000,ne,house,0
1,2,0,0,0,0,7036137354,43.3867,w/d hookups,-72.0815,off-street parking,975,new hampshire,0,875,nh,apartment,0
1,1,1,0,1,0,7032372470,42.9324,w/d in unit,-72.2867,off-street parking,1600,new hampshire,1,899,nh,apartment,0
1,2,1,0,1,0,7018323446,44.0321,w/d in unit,-72.5953,off-street parking,1150,new hampshire,1,922,nh,house,0
1,2,1,0,1,0,7036364589,42.9324,w/d in unit,-72.2867,off-street parking,1675,new hampshire,1,1033,nh,apartment,0
2,3,0,1,0,0,7036370623,44.587,laundry in bldg,-71.181,attached garage,1900,new hampshire,0,2000,nh,house,0
1.5,2,1,0,1,0,7027817055,43.5727,w/d in unit,-71.4781,attached garage,1425,new hampshire,1,1024,nh,townhouse,0
1,2,1,0,1,0,7036407111,42.9332,w/d in unit,-72.2926,off-street parking,1725,new hampshire,1,955,nh,apartment,0
1,2,1,0,1,0,7021959856,42.9937,w/d in unit,-71.4727,off-street parking,1900,new hampshire,1,1010,nh,apartment,0
1,1,1,0,1,1,7036091586,42.9324,w/d in unit,-72.2867,off-street parking,1625,new hampshire,1,740,nh,apartment,0
1,2,0,0,0,0,7018511998,43.0729,w/d in unit,-70.8052,carport,1495,new hampshire,0,804,nh,condo,0
2.5,4,1,0,1,0,7036446021,43.6611,w/d in unit,-71.0967,off-street parking,1850,new hampshire,0,1664,nh,apartment,0
1,2,1,0,1,0,7036463832,42.9332,w/d in unit,-72.2926,off-street parking,1725,new hampshire,1,1176,nh,apartment,0
1,2,0,0,0,0,7020087283,43.1963,no laundry on site,-70.8862,off-street parking,1400,new hampshire,0,1000,nh,apartment,0
1,2,1,0,1,0,7036493748,42.9324,w/d in unit,-72.2867,off-street parking,1625,new hampshire,1,749,nh,apartment,0
1,1,0,0,0,0,7023003593,43.2029,laundry in bldg,-70.8634,off-street parking,975,new hampshire,1,625,nh,apartment,0
1,2,0,0,0,0,7023001409,43.2029,laundry in bldg,-70.8634,off-street parking,1275,new hampshire,1,955,nh,apartment,0
1,2,0,0,0,0,7019410498,43.2029,laundry in bldg,-70.8634,off-street parking,1375,new hampshire,1,785,nh,apartment,0
1,2,1,0,1,0,7018756758,42.9756,w/d in unit,-71.4776,off-street parking,1730,new hampshire,1,1390,nh,apartment,0
2,2,1,0,1,0,7020520333,42.9756,w/d in unit,-71.4776,off-street parking,2150,new hampshire,1,1300,nh,apartment,0
1,3,1,0,0,0,7020061368,42.9515,laundry in bldg,-71.4037,off-street parking,1575,new hampshire,1,1575,nh,apartment,0
1,2,1,0,1,0,7036608521,42.9332,w/d in unit,-72.2926,off-street parking,1800,new hampshire,1,1041,nh,apartment,0
1,2,1,0,1,0,7018803930,42.9756,w/d in unit,-71.4776,off-street parking,1790,new hampshire,1,1260,nh,apartment,0
1,2,1,0,1,0,7036613791,42.9324,w/d in unit,-72.2867,off-street parking,1800,new hampshire,1,898,nh,apartment,0
2,2,0,0,0,0,7036630668,42.8656,w/d in unit,-71.3772,off-street parking,1550,new hampshire,1,1070,nh,condo,0
1,2,1,0,1,0,7036649892,43.6606,w/d in unit,-72.2499,off-street parking,1635,new hampshire,1,875,nh,apartment,0
1,3,0,0,0,0,7036621827,42.7564,w/d hookups,-71.4667,off-street parking,1600,new hampshire,1,2100,nh,house,0
1,1,1,0,1,0,7036660175,42.9332,w/d in unit,-72.2926,off-street parking,1675,new hampshire,1,1003,nh,apartment,0
1,1,1,0,1,0,7036688267,42.9324,w/d in unit,-72.2867,off-street parking,1550,new hampshire,1,691,nh,apartment,0
1,2,1,0,1,0,7036094528,43.6632,w/d in unit,-72.2502,off-street parking,1635,new hampshire,1,875,nh,apartment,0
2,4,0,0,1,0,7036119733,43.2692,w/d hookups,-71.3806,off-street parking,1900,new hampshire,0,2000,nh,house,0
1,1,0,1,0,0,7036702274,42.9182,laundry in bldg,-70.8009,off-street parking,400,new hampshire,0,650,nh,condo,1
1,1,1,0,1,0,7036704930,42.9332,w/d in unit,-72.2926,off-street parking,1575,new hampshire,1,950,nh,apartment,0
2,3,1,0,1,0,7036711831,42.9421,w/d hookups,-71.5149,attached garage,2750,new hampshire,0,1381,nh,apartment,0
2,3,1,0,1,0,7033629208,42.9325,w/d in unit,-72.2879,off-street parking,2500,new hampshire,1,1709,nh,apartment,0
1,2,1,0,1,0,7036745132,42.7637,w/d in unit,-71.4684,off-street parking,1600,new hampshire,1,700,nh,apartment,0
1,2,1,0,1,0,7036750436,42.7079,laundry in bldg,-71.4444,off-street parking,1595,new hampshire,1,925,nh,apartment,0
1,1,1,0,1,0,7036751280,42.7637,w/d in unit,-71.4684,off-street parking,1600,new hampshire,1,700,nh,apartment,0
1,2,1,0,1,0,7036758979,42.7637,w/d in unit,-71.4684,off-street parking,1945,new hampshire,1,1098,nh,apartment,0
1,1,0,1,0,0,7036835480,43.2531,w/d in unit,-70.9349,off-street parking,1550,new hampshire,0,900,nh,apartment,0
1,2,1,0,1,0,7031696224,42.9324,w/d in unit,-72.2867,off-street parking,1950,new hampshire,1,1065,nh,apartment,0
1,2,1,0,1,0,7019435407,42.9998,laundry in bldg,-71.4201,off-street parking,1349,new hampshire,1,833,nh,apartment,0
2.5,3,1,0,1,0,7031800219,43.6447,w/d in unit,-72.2428,attached garage,2400,new hampshire,1,1706,nh,townhouse,0
1,4,0,0,0,0,7021186828,42.9863,no laundry on site,-71.4574,off-street parking,1100,new hampshire,1,1000,nh,apartment,0
1,1,1,0,1,0,7038933515,39.893,w/d in unit,-74.8745,off-street parking,1530,south jersey,1,920,nj,apartment,0
1,1,1,0,1,0,7021337631,39.8973,w/d in unit,-74.9446,off-street parking,1445,south jersey,1,745,nj,apartment,0
2,2,0,0,0,0,7038947052,39.8845,laundry on site,-74.9067,no parking,1500,south jersey,0,1100,nj,apartment,0
2,2,0,0,0,0,7039002830,39.7214,w/d in unit,-75.1101,off-street parking,1595,south jersey,1,1180,nj,apartment,0
1.5,1,1,0,0,0,7039050512,40.0634,w/d in unit,-74.999,street parking,1235,south jersey,1,797,nj,apartment,0
2,3,0,0,0,0,7039087986,39.8845,w/d in unit,-74.9067,off-street parking,1650,south jersey,1,1575,nj,house,0
1,2,1,0,1,0,7039104375,39.894,w/d in unit,-75.0403,off-street parking,1950,south jersey,0,1030,nj,apartment,0
3.5,4,1,0,0,0,7039293575,39.6649,w/d hookups,-75.0936,attached garage,1830,south jersey,1,3200,nj,house,0
1,1,1,0,1,0,7021159242,39.9485,w/d in unit,-75.1294,street parking,1500,south jersey,0,715,nj,apartment,1
2,2,1,0,1,0,7023194276,39.3741,w/d in unit,-74.6118,off-street parking,1605,south jersey,0,1075,nj,apartment,0
1,1,0,0,0,0,7039316210,39.8504,laundry on site,-74.9646,off-street parking,1375,south jersey,1,720,nj,apartment,0
1,1,1,0,1,0,7039347890,39.8694,w/d in unit,-75.0963,off-street parking,1050,south jersey,1,647,nj,apartment,0
2,2,1,0,1,0,7039352844,39.3741,w/d in unit,-74.6118,off-street parking,1605,south jersey,0,1075,nj,apartment,0
1,1,1,0,1,0,7039352859,39.3741,w/d in unit,-74.6118,off-street parking,1480,south jersey,0,967,nj,apartment,0
1,1,1,0,1,0,7039352875,39.3741,w/d in unit,-74.6118,off-street parking,1480,south jersey,0,967,nj,apartment,0
1,1,1,0,1,0,7039352902,39.3741,w/d in unit,-74.6118,off-street parking,1360,south jersey,0,876,nj,apartment,0
1,1,1,0,1,0,7039352914,39.3741,w/d in unit,-74.6118,off-street parking,1365,south jersey,0,875,nj,apartment,0
1,1,1,0,1,0,7024518813,39.9485,w/d in unit,-75.1293,street parking,1500,south jersey,0,715,nj,apartment,1
1,1,1,0,1,0,7023084637,39.6258,laundry on site,-75.5074,street parking,950,south jersey,1,700,nj,apartment,0
1,1,1,0,1,0,7023090363,39.6258,laundry on site,-75.5074,street parking,950,south jersey,1,700,nj,apartment,0
1,1,1,0,1,0,7022423969,39.6257,laundry on site,-75.5076,street parking,875,south jersey,1,700,nj,apartment,0
1,1,1,0,1,0,7022419394,39.6257,laundry on site,-75.5074,street parking,875,south jersey,1,700,nj,apartment,0
2,3,1,0,1,0,7039006011,39.6909,w/d hookups,-75.0014,off-street parking,1650,south jersey,1,1452,nj,apartment,0
1,2,1,0,1,0,7022416378,39.6258,laundry on site,-75.5074,street parking,1250,south jersey,1,1000,nj,apartment,0
1,1,1,0,1,0,7039369924,39.8845,w/d in unit,-74.9067,off-street parking,1213,south jersey,1,828,nj,apartment,0
1,1,1,0,1,0,7039390772,39.893,w/d in unit,-74.8745,off-street parking,1530,south jersey,1,920,nj,apartment,0
1,1,1,0,1,0,7039411740,39.8845,w/d in unit,-74.9067,off-street parking,1355,south jersey,1,922,nj,apartment,0
1,1,1,0,1,0,7037043986,39.9485,w/d in unit,-75.1294,street parking,1405,south jersey,0,661,nj,apartment,1
1,1,1,0,1,0,7039413518,39.8845,w/d in unit,-74.9067,off-street parking,1375,south jersey,1,925,nj,apartment,0
1,1,1,0,1,0,7039417474,39.8845,w/d in unit,-74.9067,off-street parking,1355,south jersey,1,922,nj,apartment,0
1,2,1,0,0,0,7039418080,40.0547,w/d hookups,-75.1866,attached garage,1550,south jersey,0,747,nj,apartment,0
1,1,1,0,1,0,7039420432,39.8845,w/d in unit,-74.9067,off-street parking,1560,south jersey,1,922,nj,apartment,0
1,1,1,0,1,0,7039421233,39.8845,w/d in unit,-74.9067,off-street parking,1355,south jersey,1,922,nj,apartment,0
2,2,1,0,1,0,7022391264,40.0105,w/d hookups,-74.964,off-street parking,1400,south jersey,1,1065,nj,apartment,0
1,2,1,0,1,0,7022389060,40.0105,w/d hookups,-74.964,off-street parking,1250,south jersey,1,955,nj,apartment,0
1,1,1,0,1,0,7022386661,40.0105,w/d hookups,-74.964,off-street parking,1050,south jersey,1,788,nj,apartment,0
1,1,1,0,1,0,7039456039,39.3741,w/d in unit,-74.6118,off-street parking,1480,south jersey,0,967,nj,apartment,0
1,1,1,0,1,0,7039456060,39.3741,w/d in unit,-74.6118,off-street parking,1570,south jersey,0,1050,nj,apartment,0
2,2,1,0,1,0,7039456101,39.3741,w/d in unit,-74.6118,off-street parking,1605,south jersey,0,1075,nj,apartment,0
2,2,1,0,1,0,7039456131,39.3741,w/d in unit,-74.6118,off-street parking,1660,south jersey,0,1142,nj,apartment,0
2,2,0,0,0,0,7026573945,36.6725,w/d hookups,-105.981,off-street parking,700,santa fe / taos,1,1700,nm,house,0
2,3,1,0,1,0,7009116258,36.3953,w/d in unit,-105.585,off-street parking,1800,santa fe / taos,0,2152,nm,house,0
1,1,0,0,0,0,7011580616,35.6819,w/d in unit,-105.952,off-street parking,2100,santa fe / taos,0,1150,nm,house,1
1.5,2,0,0,0,0,7026999542,35.9056,w/d in unit,-106.127,carport,1100,santa fe / taos,0,900,nm,house,0
2.5,2,0,1,0,0,7027021551,35.6219,w/d in unit,-105.869,off-street parking,2400,santa fe / taos,0,1370,nm,townhouse,0
1,1,0,0,0,0,7008789365,35.6219,laundry in bldg,-105.869,off-street parking,1400,santa fe / taos,1,650,nm,condo,0
1,0,1,0,1,0,7025343896,35.5936,laundry on site,-106.108,off-street parking,799,santa fe / taos,1,520,nm,apartment,0
1,1,0,1,0,0,7028238530,35.677,laundry on site,-105.942,off-street parking,1750,santa fe / taos,0,750,nm,apartment,0
2,4,0,0,0,0,7028422754,24.4655,w/d hookups,-104.238,off-street parking,1925,santa fe / taos,1,1400,nm,house,0
1,2,0,0,0,0,7023762615,35.6846,w/d in unit,-105.953,off-street parking,1350,santa fe / taos,0,1000,nm,duplex,0
2,4,1,0,1,0,7013846006,35.6158,w/d in unit,-105.911,off-street parking,2300,santa fe / taos,0,2700,nm,house,0
1,2,1,0,0,0,7025632006,35.6938,w/d in unit,-105.934,off-street parking,1950,santa fe / taos,0,850,nm,apartment,0
2,3,0,0,0,0,7029776926,36.3598,w/d hookups,-105.612,street parking,900,santa fe / taos,0,1400,nm,manufactured,0
1.5,2,0,1,0,0,7029803077,35.6368,w/d in unit,-105.99,detached garage,1600,santa fe / taos,0,1350,nm,townhouse,0
2,3,0,1,0,0,7012623922,35.5862,w/d in unit,-105.926,off-street parking,2700,santa fe / taos,0,2000,nm,house,0
2,3,0,0,0,0,7012474449,35.9992,laundry in bldg,-106.05,attached garage,1500,santa fe / taos,0,2400,nm,house,0
1,1,1,0,1,0,7019182320,35.5892,no laundry on site,-106.116,off-street parking,850,santa fe / taos,1,300,nm,apartment,0
1,2,1,1,1,0,7030982824,36.3817,laundry in bldg,-106.039,carport,1599,santa fe / taos,1,2654,nm,house,0
1,1,0,1,1,0,7031380923,36.4922,w/d in unit,-105.678,carport,1250,santa fe / taos,0,1000,nm,house,0
1,2,1,0,0,0,7031423358,35.6938,w/d in unit,-105.934,off-street parking,2000,santa fe / taos,1,1024,nm,apartment,0
1,0,1,0,1,0,7031635053,35.5936,laundry on site,-106.108,off-street parking,799,santa fe / taos,1,520,nm,apartment,0
1,2,0,0,0,0,7019562478,35.6915,w/d in unit,-105.943,off-street parking,1950,santa fe / taos,0,825,nm,condo,0
1,0,1,0,1,0,7031747551,35.5936,laundry on site,-106.108,off-street parking,799,santa fe / taos,1,520,nm,apartment,0
1,0,1,0,1,0,7033043219,35.5936,laundry on site,-106.108,off-street parking,799,santa fe / taos,1,520,nm,apartment,0
1,0,1,0,1,0,7032909458,35.5936,laundry on site,-106.108,off-street parking,799,santa fe / taos,1,520,nm,apartment,0
2,3,0,0,0,0,7019330183,35.6825,w/d in unit,-105.952,street parking,2650,santa fe / taos,0,2100,nm,house,0
2,3,0,0,0,0,7022805772,35.5936,w/d in unit,-106.108,detached garage,1850,santa fe / taos,0,1454,nm,house,0
1,0,1,0,1,0,7039000883,37.6597,laundry on site,-97.3172,off-street parking,395,wichita,1,400,ks,apartment,0
1,1,1,0,1,0,7039002746,37.669,laundry on site,-97.2802,off-street parking,425,wichita,1,550,ks,apartment,0
1,0,1,0,1,0,7039005521,37.6597,laundry on site,-97.3172,off-street parking,395,wichita,1,400,ks,apartment,0
1,2,1,0,1,0,7039006131,37.669,laundry on site,-97.2802,off-street parking,500,wichita,1,650,ks,apartment,0
1,1,1,0,1,0,7039010685,37.6597,laundry on site,-97.3172,off-street parking,495,wichita,1,600,ks,apartment,0
1,0,1,0,1,0,7039012959,37.6597,laundry on site,-97.3172,off-street parking,395,wichita,1,400,ks,apartment,0
1,2,1,0,1,0,7039013937,37.669,laundry on site,-97.2802,off-street parking,500,wichita,1,650,ks,apartment,0
1,1,1,0,1,0,7039055345,37.671,laundry in bldg,-97.2179,carport,599,wichita,0,800,ks,apartment,0
1,1,1,0,1,0,7039010166,37.669,laundry on site,-97.2802,off-street parking,425,wichita,1,550,ks,apartment,0
1,0,1,0,1,0,7039088029,37.6597,laundry on site,-97.3172,off-street parking,395,wichita,1,400,ks,apartment,0
1,0,1,0,1,0,7039040835,37.6597,laundry on site,-97.3172,off-street parking,395,wichita,1,400,ks,apartment,0
1,1,1,0,1,0,7039046156,37.671,laundry in bldg,-97.2179,carport,525,wichita,0,625,ks,apartment,0
1.5,2,1,0,1,0,7039059654,37.671,laundry in bldg,-97.2179,carport,799,wichita,0,1465,ks,townhouse,0
1,1,1,0,1,0,7039059199,37.6597,laundry on site,-97.3172,off-street parking,495,wichita,1,600,ks,apartment,0
2,2,0,0,0,1,7023023102,37.6965,w/d in unit,-97.1353,off-street parking,700,wichita,0,700,ks,apartment,0
3,4,1,0,1,0,7039155942,37.5698,w/d hookups,-97.3399,attached garage,1195,wichita,0,2000,ks,condo,0
1,0,1,0,1,0,7039228827,37.8107,no laundry on site,-96.8508,off-street parking,450,wichita,1,300,ks,cottage/cabin,0
1,0,1,0,1,0,7037932775,37.7048,laundry on site,-97.3638,off-street parking,425,wichita,1,450,ks,apartment,0
1,0,1,0,1,0,7039347148,37.7048,laundry on site,-97.3638,off-street parking,425,wichita,1,450,ks,apartment,0
1,0,1,0,1,0,7037674870,37.7048,laundry on site,-97.3638,off-street parking,425,wichita,1,450,ks,apartment,0
2,2,1,0,1,0,7037629814,37.7048,laundry on site,-97.3638,off-street parking,675,wichita,1,950,ks,apartment,0
1.5,2,1,0,1,0,7037628541,37.7048,laundry in bldg,-97.3638,off-street parking,675,wichita,1,950,ks,apartment,0
1,1,1,0,1,0,7037627597,37.6921,laundry in bldg,-97.347,off-street parking,550,wichita,1,700,ks,apartment,0
1,1,1,0,1,0,7039349245,37.7048,laundry in bldg,-97.3638,off-street parking,525,wichita,1,650,ks,apartment,0
1.5,2,1,0,1,0,7039350934,37.7048,laundry on site,-97.3638,off-street parking,675,wichita,1,950,ks,apartment,0
1,1,1,0,1,0,7039353607,37.7048,laundry in bldg,-97.3638,off-street parking,550,wichita,1,700,ks,apartment,0
1,0,1,0,1,0,7039354712,37.7048,laundry in bldg,-97.3638,off-street parking,425,wichita,1,450,ks,apartment,0
1,1,1,0,1,0,7039355912,37.7048,laundry on site,-97.3638,off-street parking,525,wichita,1,650,ks,apartment,0
1,1,1,0,1,0,7039359640,37.7048,laundry on site,-97.3638,off-street parking,550,wichita,1,700,ks,apartment,0
1,2,1,0,1,0,7021513442,37.723,laundry in bldg,-97.2728,carport,599,wichita,0,830,ks,apartment,0
1,2,1,0,1,0,7021910653,37.723,laundry in bldg,-97.2728,carport,599,wichita,0,830,ks,apartment,0
1,2,1,0,1,0,7025168396,44.0323,w/d hookups,-75.8444,attached garage,995,watertown,1,1005,ny,apartment,0
1,2,1,0,1,0,7006708023,43.9743,w/d in unit,-75.9122,detached garage,1060,watertown,1,1106,ny,apartment,0
2,3,1,0,1,0,7006719502,43.9743,w/d in unit,-75.9122,detached garage,1134,watertown,1,1499,ny,apartment,0
2,3,1,0,1,0,7006703572,43.9743,w/d in unit,-75.9122,detached garage,1134,watertown,1,1499,ny,apartment,0
1,1,1,0,1,0,7006696603,43.9494,w/d in unit,-76.1133,off-street parking,925,watertown,1,821,ny,apartment,0
1,2,0,0,0,0,7025555951,43.9743,w/d in unit,-75.9122,off-street parking,1050,watertown,0,1600,ny,apartment,0
1.5,3,0,0,0,0,7011687650,43.9826,w/d hookups,-75.9043,off-street parking,990,watertown,1,1300,ny,house,0
1,2,0,0,0,0,7025844520,43.9743,w/d in unit,-75.9122,off-street parking,1040,watertown,0,1600,ny,duplex,0
1,2,0,0,0,0,7026152138,43.9743,w/d in unit,-75.9122,off-street parking,1050,watertown,0,1600,ny,apartment,0
1,1,1,0,1,0,7020208201,43.9818,no laundry on site,-75.9042,off-street parking,625,watertown,0,700,ny,apartment,0
